Gene_ID,T47D_ROSA26.KO_DMSO_rep1,T47D_ROSA26.KO_DMSO_rep2,T47D_ROSA26.KO_C70_rep1,T47D_ROSA26.KO_C70_rep2,T47D_ZBTB7A.KO_DMSO_rep1,T47D_ZBTB7A.KO_DMSO_rep2,T47D_ZBTB7A.KO_C70_rep1,T47D_ZBTB7A.KO_C70_rep2
NPPC,0,0,0.191385,0.190711,0.121191,0.265983,0.504304,0
RP11-295P9.3,2.57189e-53,3.18589e-69,1.73137e-35,4.80694e-49,4.88394e-32,0.249875,1.72263e-38,7.97521e-54
VAMP2,19.1161,13.6658,12.7915,12.278,24.8054,12.6685,20.8392,17.8635
C4orf51,0,0,0,0,0,0,0,0
PRKRA,28.9859,22.7893,12.5132,19.5306,25.5634,21.1716,22.5625,18.4022
TSC2,18.589,15.2889,8.76157,14.1107,16.5604,13.5939,14.2725,13.1659
TGFBI,0.61813,0.771946,0.59955,0.733823,1.03104,0.489328,0.706546,0.83574
TCEA1,61.3556,46.0443,31.9805,45.9571,57.7789,42.7736,49.9703,46.3468
CDC37,65.893,81.6262,28.7044,78.599,64.3177,86.5751,62.0774,71.8246
KIF18A,11.8482,12.7042,7.30381,11.2903,9.06702,11.0241,9.19163,11.682
C1orf137,0,0,0,0,0,0,0,0
CEP55,26.7451,34.5522,9.15125,37.2957,23.485,30.1456,24.4633,36.8044
CDH6,0,0,0,0,0,0,0,0
FKTN,13.6971,10.1281,2.91751,8.7157,11.7723,8.96711,9.87786,10.5042
CD1B,0,0,0,0,0,0,0,0
TRIP11,11.7463,14.3616,6.24524,13.7044,12.0646,13.8146,11.9375,11.015
THEM5,0.120904,0,0.070076,0,0,0,0,0.0684682
RNF113A,5.27636,5.00606,4.2805,3.75505,3.90856,3.32797,3.25958,2.88303
SNRPE,105.219,117.209,421.136,124.779,97.0462,91.0778,99.0058,103.474
FAM120B,6.80615,6.27065,1.97641,6.75906,6.79171,6.63862,6.21802,6.87387
KLHDC9,5.35212,4.16792,6.73499,3.99823,6.11294,4.86294,4.61811,3.66321
