Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
IL17RE,0.469233,0.286323,0.43609,0.423739,0.243325,0.437976,0.675126,0.365142,0.378089,1.16649,0.332925,0.397023,0.602641,0.939863,0.693524,0.559485
METAP1D,0.791613,0.813896,1.3532,1.30648,0.993497,0.961283,1.26602,1.61059,1.14986,1.07771,1.47693,1.48913,0.89458,0.996875,1.84652,1.27047
ZC3H15,75.9164,82.5419,67.4451,73.6082,80.0823,73.8183,74.2191,76.3105,73.7057,71.8618,71.5061,75.2722,66.5526,69.3538,67.5171,73.9691
MNDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LY86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDC1,43.4294,44.1063,42.7003,52.2082,41.2027,43.9099,43.7973,46.4669,38.7889,38.4141,40.6327,40.6832,40.0544,43.2909,43.9294,43.1692
ECM2,0.756191,0.63528,0.694424,1.36242,0.719748,0.766742,0.831775,0.805772,0.722045,0.80717,1.06952,0.94693,0.646452,0.723338,0.883049,0.722631
SOCS2,20.7149,20.1067,13.2549,14.1715,18.336,22.423,12.1355,12.5136,20.7645,20.8273,13.7368,13.7159,16.8755,18.9046,11.8826,11.2881
COL16A1,7.93595,7.97099,8.16418,4.94755,7.13051,6.37142,7.91294,7.33498,7.65072,7.14568,9.40613,7.97774,9.29323,11.2014,11.0324,10.721
INPP5F,4.35218,5.26988,4.41411,5.06882,5.06962,5.52244,4.39381,5.08097,5.75791,5.42773,5.08424,4.85894,4.73789,4.36874,4.72566,3.78965
GPR125,13.3413,14.0427,14.5569,14.5691,13.7594,14.1773,14.5462,14.2643,13.1816,13.1453,13.4493,13.9677,14.3439,14.8894,16.6779,15.5586
LRRFIP1,54.9336,58.4399,47.1213,50.1765,59.388,55.686,52.8816,51.3069,52.9399,55.0221,53.1973,56.1016,51.9529,52.5188,49.253,51.2767
FAM27D1,0.0120143,0,0,0,0,0,0,0,0.0182777,0,0.0207542,0.0137726,0,0.014995,0,0.00649736
LMO3,0,0,0,0.165716,0,0,0.0131391,0.153287,0,0,0,0,0.0098889,0.0105611,0,0
CHCHD7,14.8432,14.6045,15.41,15.8651,16.3981,15.1914,15.0614,15.5969,14.215,13.7942,16.8003,16.9612,15.7278,14.6796,16.0187,16.5517
